Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014006-Alacant - El Pla
	
FECHA	C8H10	SO2	CO	NO	NO2	PM10	Ni	NOx	O3	As	Pb	C7H8	BaP	Cd	C6H6
	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	ng/m³N	µg/m³
01/01/2022	1,4	3	0,2	10	27	37		43	35			1,5	0,22		0,6
02/01/2022	2,4	3	0,2	36	41			96	21			2,8			0,9
03/01/2022	2,8	4	0,2	44	48	42		115	22			3,3			0,9
04/01/2022	2,7	4	0,2	44	39	45	1,4	107	30	0,73	0,01	3,7		0,17	0,8
05/01/2022	0,2	3	0,1	1	10	16		13	65			0,1	0,04		0,1
06/01/2022	0,6	3	0,1	4	19	8	1,4	25	53	0,05	0,01	0,5		0,05	0,3
07/01/2022	1,8	4	0,2	31	46	17		93	40			1,9			0,6
08/01/2022	0,5	3	0,1	4	23	11	1,4	29	55	0,05	0,01	0,3		0,05	0,2
09/01/2022	0,1	4	0,1	1	3	18		5	73			0,1	0,04		0,1
10/01/2022	0,4	3	0,1	3	14	16	1,4	18	53	0,24	0,01	0,3		0,05	0,2
11/01/2022	0,9	3	0,1	9	30	10		44	47			0,9			0,3
12/01/2022	0,7	3	0,1	8	25	12	1,4	37	38	0,24	0,01	0,6		0,05	0,3
13/01/2022	0,5	3	0,1	7	27	12		38	51			0,3	0,04		0,2
14/01/2022	1	3	0,1	9	39	17	1,4	53	44	0,19	0,01	0,9		0,05	0,4
15/01/2022	0,9	3	0,2	11	37	18		53	46			0,9			0,4
16/01/2022	0,8	3	0,1	6	31	17	1,4	41	46	0,21	0,01	0,7		0,22	0,4
17/01/2022	1,4	3	0,2	24	45	19		81	42			1,3			0,5
18/01/2022	1,6	4	0,2	25	52	24	1,4	91	40	0,3	0,01	1,7		0,05	0,5
19/01/2022	1,6	3	0,2	19	53	21		82	42			1,6			0,5
20/01/2022	1,1	3	0,1	12	43	20	1,4	62	43	0,33	0,01	1		0,05	0,4
21/01/2022	0,9	3	0,1	12	37	15		55	48			0,9	0,13		0,3
22/01/2022	0,4	3	0,1	3	26	10	1,4	31	47	0,15	0,01	0,2		0,05	0,2
23/01/2022	0,5	3	0,1	4	26	7		33	39			0,4			0,3
24/01/2022	1	3	0,1	13	35	11	1,4	55	47	0,14	0,01	0,8		0,05	0,3
25/01/2022	0,4	3	0,1	2	23	10		27	65			0,2			0,2
26/01/2022	0,9	3	0,1	12	31	13	1,4	49	52	0,16	0,01	0,8		0,05	0,3
27/01/2022	1,1	3	0,1	15	42	15		66	39			1			0,4
28/01/2022	1,8	3	0,1	27	51	22	1,4	92	37	0,26	0,01	1,9		0,05	0,5
29/01/2022	2	5	0,2	34	56	23		108	34			2	0,44		0,6
30/01/2022	1,9	4	0,2	13	44			63	37			1,9			0,6
31/01/2022	1,9	4	0,2	28	53			96	36			1,9			0,6
01/02/2022	1,1	3	0,2	6	36			45	53			1			0,3
02/02/2022	2,3	4	0,2	37	60			118	23			2,6			0,7
03/02/2022	3,4	4	0,3	66	65			167	21			4,3			0,9
04/02/2022	2,2	3	0,2	19	56			84	27			2,3			0,6
05/02/2022	0,7	3	0,1	3	27	21	3	31	50	0,34	0,01	0,6		0,05	0,3
06/02/2022	0,6	3	0,1	3	24	12		29	46			0,5	0,12		0,2
07/02/2022	1,3	3	0,1	23	37	22	1,4	72	32	0,42	0,01	1,2		0,05	0,4
08/02/2022	1,1	3	0,1	11	38	17		54	44			0,9			0,3
09/02/2022	0,5	3	0,1	3	27	19	1,4	32	58	6,53	0,01	0,3		0,05	0,3
10/02/2022	0,8	3	0,1	7	32	17		43	62			0,6			0,3
11/02/2022	1	3	0,1	10	37	21	1,4	53	53	0,33	0,01	0,9		0,05	0,3
12/02/2022	1	3	0,1	4	37	22		43	54			0,8			0,3
13/02/2022	0,8	3	0,1	2	26	20	1,4	29	63	0,25	0,01	0,7		0,05	0,3
14/02/2022	1	3	0,1	14	27	22		49	56			0,9	0,08		0,3
15/02/2022	0,7	4	0,1	5	30	10	1,4	37	60	0,05	0,01	0,6		0,05	0,2
16/02/2022	1,1	3	0,1	6	36	20		46	55			0,9			0,3
17/02/2022	1	3	0,2	6	38	16	1,4	47	45	0,26	0,01	0,7		0,05	0,3
18/02/2022	1,9	3	0,2	24	53	28		89	41			2,1			0,5
19/02/2022	0,7	3	0,1	2	23	24	1,4	26	64	0,22	0,01	0,7		0,05	0,2
20/02/2022	0,3	3	0,1	1	15	13		17	65			0,2			0,2
21/02/2022	1,4	3	0,1	14	44	24	1,4	66	37	0,26	0,01	1,4		0,05	0,4
22/02/2022	1,2	3	0,1	13	38	23		57	47			1,2	0,07		0,3
23/02/2022	1	3	0,1	12	39	20	1,4	58	50	0,15	0,01	1		0,05	0,3
24/02/2022	0,7	3	0,1	10	25	18		41	65			0,7			0,2
25/02/2022	0,4	3	0,1	3	19	21	1,4	25	67	0,15	0,01	0,3		0,05	0,2
26/02/2022	0,2	3	0,1	1	10	19		12	80			0,1			0,1
27/02/2022	0,3	3	0,1	1	19	15	1,4	21	68	0,05	0,01	0,2		0,05	0,2
28/02/2022	0,6	3	0,1	8	28	16		41	64			0,5			0,2
01/03/2022	0,7	3	0,1	6	28	20	1,4	37	65	0,22	0,01	0,7		0,05	0,2
02/03/2022	1,2	3	0,2	9	43	26		57	57			1,2	0,08		0,3
03/03/2022	0,8	3	0,1	9	29	18	1,4	43	63	0,19	0,01	0,6		0,05	0,2
04/03/2022	1,6	3	0,2	18	32	16		60	61			1,8			0,4
05/03/2022	0,6	3	0,1	3	24	13	1,4	30	47	0,2	0,01	0,4		0,05	0,2
06/03/2022	0,1	3	0,1	1	7	7		9	79			0,1			0,1
07/03/2022	0,3	3	0,1	4	25	8	1,4	32	64	0,05	0,01	0,2		0,05	0,2
08/03/2022	1	3	0,1	12	38	14		57	41			0,9			0,4
09/03/2022	1	3	0,1	8	34	16	1,4	47	49	0,29	0,01	0,7		0,05	0,3
10/03/2022	0,8	3	0,1	4	29	13		36	63			0,6	0,08		0,2
11/03/2022	0,5	3	0,1	5	23	17	4	30	69	0,28	0,01	0,4		0,05	0,2
12/03/2022	0,3	3	0,1	1	16	11	1,4	18	69	0,14	0,01	0,3		0,05	0,1
13/03/2022	0,6	3	0,1	1	20	13	1,4	23	56	0,19	0,01	0,4		0,05	0,2
14/03/2022	0,1	3	0,1	1	8	155		11	87			0,1	0,04		0,1
15/03/2022	0,2	3	0,1	1	14	205		17	74			0,1			0,1
16/03/2022	0,2	3	0,1	2	19	66	1,4	23	61	0,57	0,01	0,2		0,05	0,1
17/03/2022	0,1	3	0,1	2	15	23	1,4	17	71	0,21	0,01	0,1		0,05	0,1
18/03/2022	0,1	3	0,1	2	22	19		25	70			0,1	0,04		0,1
19/03/2022	0,1	3	0,1	1	14	18		16	78			0,1			0,1
20/03/2022	0,1	3	0,1	1	4	22	1,4	6	87	0,25	0,01	0,1		0,05	0,1
21/03/2022	0,1	3	0,1	2	11	33	1,4	14	81	0,18	0,01	0,1		0,05	0,1
22/03/2022	0,1	3	0,1	1	9	14	1,4	11	91	0,05	0,01	0,1		0,05	0,1
23/03/2022	0,1	3	0,1	1	9	14		11	88			0,1			0,1
24/03/2022	0,1	3	0,1	1	9	41	1,4	11	89	0,37	0,01	0,1		0,05	0,1
25/03/2022	0,1	3	0,1	1	9	32	1,4	12	97	0,33	0,01	0,1		0,05	0,1
26/03/2022	0,2	3	0,1	1	13	20		15	91			0,1	0,04		0,1
27/03/2022	0,3	3	0,1	1	12	20	1,4	14	86	0,25	0,01	0,2		0,05	0,1
28/03/2022	0,5	3	0,1	4	25	53		31	64			0,3			0,1
29/03/2022	0,4	3	0,1	3	21	72	1,4	25	65	0,69	0,01	0,4		0,05	0,1
30/03/2022	0,3	3	0,1	4	26	48		32	61			0,4			0,1
31/03/2022	0,3	3	0,1	2	14	16	1,4	17	72	0,2	0,01	0,5		0,05	0,1
01/04/2022	0,3	3	0,1	2	13	13		16	78			0,7			0,1
02/04/2022	0,2	3	0,1	1	8	8	1,4	10	91	0,05	0,01	0,2		0,05	0,1
03/04/2022						9							0,04		
04/04/2022						14	1,4			0,05	0,01			0,05	
05/04/2022	0,1	3	0,1	2	18	11		21	85			0,3			0,1
06/04/2022	0,4	3	0,1	4	26	14	1,4	33	72	0,19	0,01	0,3		0,05	0,2
07/04/2022	0,6	3	0,1	8	23	23		35	73			0,6			0,2
08/04/2022	0,4	3	0,1	6	20	22	1,4	30	60	0,24	0,01	0,4		0,05	0,2
09/04/2022	0,1	3	0,1	1	11	16		14	69			0,1			0,2
10/04/2022	0,2	3	0,1	1	7	18	3	9	74	0,14	0,01	0,2		0,05	0,2
11/04/2022	0,5	3	0,1	6	23	30		33	62			2,1	0,04		0,2
12/04/2022	0,1	3	0,1	2	19	28	1,4	22	66	0,26	0,01	1,6		0,05	0,2
13/04/2022	0,2	3	0,1	2	16	10		19	72			0,1			0,2
14/04/2022	0,1	3	0,1	1	7	18	1,4	9	94	0,2	0,01	0,1		0,05	0,1
15/04/2022	0,1	3	0,1	1	14	23		16	100			0,1			0,1
16/04/2022	0,1	3	0,1	2	29	25	1,4	32	66	0,36	0,01	0,1		0,05	0,2
17/04/2022	0,1	4	0,1	1	14	22		16	89			0,1			0,1
18/04/2022	0,1	3	0,1	1	10	18	1,4	12	104	0,25	0,01	0,1		0,05	0,1
19/04/2022	0,1	3	0,1	1	15	17		17	96			0,1	0,04		0,1
20/04/2022	0,1	3	0,1	2	12	8	1,4	15	78	0,05	0,01	0,8		0,05	0,3
21/04/2022	0,1	3	0,1	1	14	9		16	75			0,1			0,1
22/04/2022	0,1	3	0,1	7	30	20	3	41	54	0,24	0,01	0,1		0,05	0,2
23/04/2022	0,1	3	0,1	1	5	10		7	81			0,1			0,2
24/04/2022	0,1	3	0,1	1	6	10	1,4	8	84	0,05	0,01	0,1		0,05	0,2
25/04/2022	0,2	3	0,1	3	15	11		19	71			0,1			0,2
26/04/2022	0,2	3	0,1	3	19	12	1,4	24	74	0,05	0,01	0,1		0,05	0,2
27/04/2022	0,1	3	0,1	2	32	20		36	50			0,1	0,04		0,1
28/04/2022	0,1	3	0,1	2	26	13	1,4	30	46	0,26	0,01	0,1		0,05	0,1
29/04/2022	1	3	0,1	14	31	21		52	66			0,3			0,3
30/04/2022	0,3	3	0,1	1	20	19	4	22	87	0,24	0,01	0,2		0,05	0,1
