Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014008-Alacant - Florida Babel
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	R.Sol.	Precip.	PM2.5	SO2	NO	NO2	NOx	O3
	m/s	grados	°C	% H.R.	W/m²	l/m²	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2022	0,7	232	12,2	97	108	0,2	29	3	9	33	46	31
02/01/2022	0,8	253	12	91	114	0	24	3	9	32	46	26
03/01/2022	0,9	257	12,3	97	94	0	28	3	15	42	66	25
04/01/2022	2,6	244	14,9	83	112	0	36	3	33	43	93	31
05/01/2022	6,4	276	14,3	57	105	0	13	3	2	5	8	75
06/01/2022	1,7	275	11,9	69	117	0	6	3	2	11	14	62
07/01/2022	1,6	268	11,2	59	117	0	12	3	12	33	52	47
08/01/2022	3,1	266	13,6	52	114	0	7	3	3	16	21	62
09/01/2022	6,8	273	17,5	48	90	0	19	4	3	5	10	73
10/01/2022	3,9	277	19,4	66	106	0	12	6	19	30	59	
11/01/2022	1	174	13,6	100	28	2	3	3	14	33	55	
12/01/2022	1,1	270	12,1	91	112	0	11	3	12	32	51	
13/01/2022	2,3	39	12,2	79	121	0,6	11	3	5	25	32	
14/01/2022	1,7	310	10,4	81	94	0	12	4	7	30	40	
15/01/2022	1,3	278	10,9	86	125	0	10	3	4	27	34	
16/01/2022	1,2	287	9,7	82	127	0	12	3	5	26	34	
17/01/2022	1,3	291	10,1	83	126	0	15	3	14	42	64	
18/01/2022	1,4	264	9,8	85	128	0	16	3				
19/01/2022	1,2	295	10,3	83	79	0	15	3				
20/01/2022	1,4	312	10,4	86	102	0	17	3				
21/01/2022	1,6	10	11,1	81	130	0	13	3	8	30	43	33
22/01/2022	1,4	18	10,6	90	42	0,6	7	3	5	27	34	36
23/01/2022	0,7	357	11,3	96	41	0,2	8	3	3	24	28	32
24/01/2022	1,7	17	12,4	83	78	0	7	3	5	28	36	37
25/01/2022	3	69	13,3	87	115	1,9	4	3	3	19	23	67
26/01/2022	2,3	22	12,2	83	126	0	7	3	6	35	45	61
27/01/2022	1,5	5	11,8	91	129	0	10	3	8	41	52	51
28/01/2022	1,1	310	11,4	81	145	0	13	3	14	42	63	46
29/01/2022	1,1	279	11,1	67	154	0	20	3	12	42	60	40
30/01/2022	1,2	250	11,5	65	156	0	17	3	9	32	45	45
31/01/2022	1,8	280	15,3	52	153	0	33	3	34	48	100	37
01/02/2022	1,5	254	13,6	71	154	0	11	3				53
02/02/2022	1	268	15	73	158	0	21	4				24
03/02/2022	1,1	252	15	72	156	0	23	3				22
04/02/2022	0,8	48	16,4	74	122	0	22	3				26
05/02/2022	1,8	89	15,2	90	98	0	15	3				51
06/02/2022	0,9	62	14,6	92	89	0	7	3				56
07/02/2022	1,1	282	12,9	97	162	0	14	4	20	19	49	32
08/02/2022	1,2	343	13,1	89	160	0	10	3	9	25	40	51
09/02/2022	1,5	344	13,3	87	73	0	9	3	6	28	38	57
10/02/2022	1	233	14	87	117	0	7	3	8	25	37	61
11/02/2022	1,2	329	12,1	92	135	0	10	3	8	15	27	59
12/02/2022	1,5	251	12,7	90	164	0	14	3	3	15	18	65
13/02/2022	1,2	254	12,7	93	158	0		3	2	11	14	58
14/02/2022	3,8	277	15,7	67	151	0	13	3	12	5	22	62
15/02/2022	2,2	282	16	50	175	0	5	3	3	10	13	74
16/02/2022	3,1	272	18	52	178	0	9	3	3	12	15	79
17/02/2022	1,7	270	17,4	70	187	0	10	3	6	28	37	59
18/02/2022	1	230	14,6	83	188	0	20	3	19	53	82	35
19/02/2022	3,1	84	15,2	85	134	0	16	3	3	18	22	73
20/02/2022	1,4	255	14,4	84	186	0	6	4	2	13	16	68
21/02/2022	1,5	228	15,2	83	193	0	19	6	12	41	59	40
22/02/2022	1,3	260	14,3	69	197	0	16	3	12	40	59	46
23/02/2022	1,4	15	13,9	71	161	0	14	3	9	28	41	64
24/02/2022	2,1	54	14,3	82	190	0	12	3	6	20	29	76
25/02/2022	3,3	75	15,4	86	79	0	13	3	2	15	18	78
26/02/2022	4,1	80	14,6	82	123	0	7	3	2	5	9	94
27/02/2022	1,7	33	13,5	79	106	0	9	3	2	8	11	87
28/02/2022	1,4	297	14,2	78	190	0	11	3	4	23	30	70
01/03/2022	1,3	183	13,3	89	208	0	15	3	5	28	36	65
02/03/2022	1,6	248	15,2	86	201	0	41	3	8	34	47	59
03/03/2022	1,9	81	16,2	84	146		33	3	9	27	41	64
04/03/2022	2,9	60	14,2	91	56		8	3	6	22	30	67
05/03/2022	1,5	247	13,3	90	139		11	3	3	16	21	49
06/03/2022	3,1	75	13,1	95	91		4		2	5	8	82
07/03/2022	1,5	49	13	97	112	0	4	6	3	15	19	71
08/03/2022	1,3	285	13,2	95	171	0	24	4	10	29	45	44
09/03/2022	1,6	13	13,5	93	230	0	24	3	6	25	35	54
10/03/2022	1,4	19	14,2	91	229	0		3	6	25	34	61
11/03/2022	1,3	226	15	95	169	0,7	41	3	4	25	31	58
12/03/2022	4,2	260	17	72	252	0,2	8	3	2	9	12	71
13/03/2022	1,9	236	17,2	78	194	0	19	3	2	11	15	61
14/03/2022	6,6	86	19,1	75	78		85	3	2	5	8	90
15/03/2022	4,8	87	22,1	51	48		140	3	2	9	12	78
16/03/2022	1,9	83	18	80	20		45	3	4	17	23	59
17/03/2022	2,9	60	15,5	93	48		9	3	3	12	16	74
18/03/2022	1,7	31	15,6	82	95		12	3	2	13	17	76
19/03/2022	2	60	15,4	88	122		11	3	2	11	14	79
20/03/2022	4,3	86	15,9	95	173		9	4	2	2	5	92
21/03/2022	4,3	86	17,3	100	80		7	3	2	7	10	86
22/03/2022	5,1	86	16	100	43		4	3	2	5	9	94
23/03/2022	5	86	14,3	100	31		3	3	2	5	8	91
24/03/2022	6	86	16,5	93	150		15	3	2	5	8	94
25/03/2022	5,9	86	16,6	89	68	15,5	12	3	2	5	8	101
26/03/2022	3	65	17,1	91	67	1,4	9	3	2	8	12	95
27/03/2022	1,6	53	16,3	85	173	0	12	3	2	8	11	87
28/03/2022	2,5	18	15,3	85	177	0	26	3	3	16	21	68
29/03/2022	1,6	262	17,4	82	140	0	42	4	4	20	26	62
