Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2022	1	259	11,2	89	1016	111	0	23	20	3	0,1	4	17	29	23	34
02/01/2022	1,7	270	10,1	78	1015	120	0	14	13	3	0,1	4	18	17	24	27
03/01/2022	1,6	264	10,2	85	1012	93	0	19	18	3	0,1	6	27	24	36	25
04/01/2022	3	186	14,7	65	1001	120	0	8	7	3	0,1	9	24	54	38	36
05/01/2022	7,5		13	48	1002	110	0	2	1	3	0,1	2	4	28	8	69
06/01/2022	2,3		9,9	61	1005	124	0	2	2	3	0,1	2	8	5	12	57
07/01/2022	1,9		9,6	49	1012	126	0	2	2	3	0,1	3	13	12	18	57
08/01/2022	2,5		12,2	42	1012	115	0	1	1	3	0,1	2	6	12	9	67
09/01/2022	8,5		16	41	1006	88	0	2	1	3	0,1	2	2	25	5	74
10/01/2022	3,8		18,2	57	1003	110	0	1	1	3	0,1	2	4	10	8	58
11/01/2022	1	35	11,2	97	1011	8	3,9	3	2	3	0,1	2	13	3	17	53
12/01/2022	1,9	324	10,3	85	1016	85	0,1	6	5	3	0,1	4	13	8	19	36
13/01/2022	2,2	72	10,3	72	1020	127	0,5	4	4	3	0,1	4	17	9	23	53
14/01/2022	2,1	314	8,2	77	1019	93	0	7	7	3	0,1	3	16	11	21	47
15/01/2022	2,2	279	8,8	80	1015	117	0	5	5	3	0,1	2	12	8	15	54
16/01/2022	2,1	262	8,3	74	1017	136	0	6	6	3	0,1	3	11	8	15	53
17/01/2022	2,2	272	8	75	1019	134	0	11	10	3	0,1	6	19	17	28	46
18/01/2022	2,4	273	8	76	1018	137	0	9	9	3	0,1	4	17	13	24	51
19/01/2022	2,2	292	8,1	78	1018	81	0	8	8	3	0,1	4	19	11	25	53
20/01/2022	2	306	8,6	80	1014	96	0	9	9	3	0,1	3	17	13	21	49
21/01/2022	1,9	50	9,1	74	1012	132	0	9	9	3	0,1	4	20	12	25	49
22/01/2022	1,7	6	8,6	87	1016	35	3	5	5	3	0,1	3	13	6	16	49
23/01/2022	1,1	17	9,6	90	1014	26	0,7	3	3	3	0,1	2	14	3	18	44
24/01/2022	2,1	47	10,6	76	1015	72	0,1	3	2	3	0,1	3	15	4	20	51
25/01/2022	2,9	91	11,5	80	1018	107	2,3	2	2	3	0,1	3	13	4	17	69
26/01/2022	2,6	341	9,8	80	1017	133	0	3	3	3	0,1	4	15	8	22	53
27/01/2022	1,8	357	9,8	85	1016	115	0	6	5	3	0,1	3	19	11	24	46
28/01/2022	2,1	263	9,4	73	1018	148	0	6	5	3	0,1	5	19	14	26	46
29/01/2022	2,1		9,6	52	1020	158	0	5	5	3	0,1	3	16	9	20	52
30/01/2022	1,9		10,1	48	1015	159	0	6	5	3	0,1	3	13	9	17	52
31/01/2022	2,7		14,2	39	1009	151	0	4	3	3	0,1	4	23	22	30	48
01/02/2022	2		12,1	58	1012	157	0	3	2	3	0,1	4	18	11	25	60
02/02/2022	2,1		14	57	1011	161	0	4	3	3	0,1	8	32	24	43	32
03/02/2022	1,6		14,6	52	1008	157	0	4	4	3	0,1	8	28	19	40	37
